case_number,case_url,file_date,property_address,filing_no,volume_no,page_no,county,created_at,is_new,doc_type,user_id_param
RP-2025-203108,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVaweNjp4idaeIr3h1Gt39Cc8vkb9Im3PBNaeHr0h8/1KvPfOok2qor4r+fvL+AOWRNrrjYjhbwAj7pTJE+0ZSs/ZAB+8daooAo2OfNa+cxU/b/pJiBxBnbVObQEE4qCkIQ==,05/29/2025,"815 Beall Street, Houston, TX 77073",,3,3,Harris,2025-06-02 01:37:54.709132,True,L/P,95dacf28-53a3-473c-8d19-c48b13cc6106
RP-2025-203102,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVUobavzRRiOOiRueAtRA6M/tOK11Qh0R5Vs3kTjwcIKeYVlHcify+tbfo7rDC/7zviAxbXl/ZoLBI5YyVfRQNpYfUOR+v+wQyvo3GYIHyR3bSzaj7vRxn82fey6eC2DEgg==,05/29/2025,"859 Fortune Street, Lincolns City, Texas, 12345",,3,3,Harris,2025-06-02 01:38:05.846854,True,L/P,95dacf28-53a3-473c-8d19-c48b13cc6106
RP-2025-203101,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVVKfHQ4BHCjNt6mScQUrSyTGmBwJnR4fILTfKDqSU3C4wKf4+ks2DrfpLR8bgYVTCAPsDuIvPxtzMsp14WYN5Jo1VePFV3NcTWdi3jFR+MRXHh8J02FJFs83u3NwUOUTaA==,05/29/2025,"818 Elkhart Street, Houston, Texas 77009",,3,3,Harris,2025-06-02 01:38:16.301788,True,L/P,95dacf28-53a3-473c-8d19-c48b13cc6106
RP-2025-203090,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVS98keNHqLapRsrISUQQP2xS//KTlA1WwZzZI4tiB4yIOFPyEhIC2tqodJylyvEEAxWxdj8oQXaatZuFl7YvRXUWAr+GKjb4yiVF4RGspqBgo3ezcN5WrC5SCfXElwq/1w==,05/29/2025,8 Ws. HTS ANNEX SECT,,3,3,Harris,2025-06-02 01:38:26.088579,True,L/P,95dacf28-53a3-473c-8d19-c48b13cc6106
RP-2025-203079,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVQe+J2njobezRylFCH3N1S+Ho+/Daxf6AujbXUMLaNDrvjeCoOJamDE3ztJ2aQqb4jT6PDTJTHSphkKud3EPi9sBvU5aoS3orCCRNSxOynbSXak9pL93gdjT47busiur+w==,05/29/2025,"745 Paul Quinn Street, Houston, Texas 77091",,3,3,Harris,2025-06-02 01:38:36.716348,True,L/P,95dacf28-53a3-473c-8d19-c48b13cc6106
RP-2025-203075,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVSU+3zSrmjeq3YxZuciJNhK/49Geb/P+rqBctV+uhMBhPxoHOFN4f91K1v5ZoaUbweSovz54AdhiEDjGpWUhu57LRmopqD0/bDZAeKwYC/SSlIeO8Gf8n0ygqLIPXO4sbA==,05/29/2025,7 HIGHLAND HEIGHTS AN SECO,,3,3,Harris,2025-06-02 01:38:46.740440,True,L/P,95dacf28-53a3-473c-8d19-c48b13cc6106
RP-2025-203065,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVXVut0dPrHAG+kvl3qBsAlwdj4VcMpO7vislbDNKFD3SgW02mkERsoWxSTVxZGnUl1kgzfFv1gmIlkc+C4TBIH5W03N4HhfUrSVKWEODj6qV3P8P5FnIUAINrLsw3+mIKA==,05/29/2025,"1 known ay 6731 Knox Street, Houston, Texas 77091",,3,3,Harris,2025-06-02 01:38:57.633085,True,L/P,95dacf28-53a3-473c-8d19-c48b13cc6106
RP-2025-203052,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVUUNZnAa/iZYRv8qe9YAhcw5X1XdY0Ddh34aSN5BwtmHai3Int4E2+m1ehRHf0TE5CFmll3ClaikOhV8WQBerZSiIuhu5mrF+zA0mJKUfKcQwzpMCQbC7caEzNbBO0HaSQ==,05/29/2025,":

Lot 54, in Block 5, of Villages of Northpointe Wiest Sec. 4, a subiision in Harvis
County, Texas, according tothe rap or pat thereof recored at Fim Cade No, 589145
of the map records of Harris County, Teras and which property is commonly known as
18622 Bristol Point La, Tonbell, YX 7877",,2,2,Harris,2025-06-02 01:39:08.567644,True,L/P,95dacf28-53a3-473c-8d19-c48b13cc6106
RP-2025-203049,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVRJcyUq/Ih1PU7hN7Ldt06miv49ELR1UYuYI4L8vrf34kk5bZU4oTpN3fo1EoAFLkFXF1y10+cvdgWc6pZ6fnMFzH2FkF4d8UFo5c0krccSdpyKCZSrGAS7Vrbop3/vowg==,05/29/2025,"2025-203049, Houston, TX 77022",,3,3,Harris,2025-06-02 01:39:19.699398,True,L/P,95dacf28-53a3-473c-8d19-c48b13cc6106
RP-2025-203047,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVR8JHgdHVKXHEzhkBCGEX3CBfYjHDzVt8zR/M3A/Sw2fj8XrxVCojKwn8Lgm8r4JVPYQVJc/lxB5bQYIN8UIbl3sgBa+H/3O4jZPUpwdbouDYKQSRcE8cUQ7P7RvOwB4kQ==,05/29/2025,"6315 Knox Street, Houston, TX 77007",,3,3,Harris,2025-06-02 01:39:31.036750,True,L/P,95dacf28-53a3-473c-8d19-c48b13cc6106
