case_number,case_url,file_date,property_address,filing_no,volume_no,page_no,county,created_at,is_new,doc_type,user_id_param
RP-2025-234365,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVUIBi93S8EWJWUQlR0GZMiwak2GDY8EaxAiciLA4Vvp2daCToS0BlHtdhFvl+zJ16JVZ8WO0IMoShgCuYoy+b1bxlwe80r0ufrbxUbFzwpSQU/n6ZGxR0ki2lcBBiMPonw==,06/18/2025,12419 Oakleaf Berd,,2,2,Harris,2025-06-19 17:37:15.994804,True,L/P,1a3f346c-1268-4451-bab8-ea29dc879531
RP-2025-234360,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVRmc4uOVHhtKzk9G0OKdZfsqQD+wcTDTiY9+OeQQ4pTPfXgiXkVWSO+910KjIQUSbZCSXu0S742ZDRu2Y5eS/WsHJwD2sLg0G2ROv4GYB2cp7NPQbGK2i/70FY9AKpUc6g==,06/18/2025,"15204 Kinord Run Drive, Bumble, TX 77346",,2,2,Harris,2025-06-19 17:37:28.547538,True,L/P,1a3f346c-1268-4451-bab8-ea29dc879531
RP-2025-234356,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVQo/QJNr71gkE20s6LWfrBfWErXKUzR/S7vVY5os8cI4RBaJZ/ktZ55bY19pPEZvs7caDMgYEw3nHxcCwuKjfB6zs64L/1VmkxnU43dOPZG7OuP1xlcRDcvdCesjdjWU9A==,06/18/2025,"oe = Ds OO RE-2025-234356 06/19/2025 ER 37.00 NOTICE OF LIS PENDENS ATE OF TEXAS § COUNTY OF ff RIS § KNOW ALL MEN BY T NTS: Q comes: in of Houston, Harte Coney. in Nespondensthatsuch to Donan Procseting or ones s the leo, to as. the Independent Schoo Dist botcinaer described ten tate of in 11 seeks to establish contain CHANG Hoosye Mecking attimadve 1 rosseding or king Wr due w ermine and perpetual stay fewer Line does located en, in any in and 0 such wet estate for Noighberhrad Sesser System Improves Package Six",,5,5,Harris,2025-06-19 17:37:39.545002,True,L/P,1a3f346c-1268-4451-bab8-ea29dc879531
RP-2025-234346,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVThfrV9Lr8+yKFcGfMdnWzIShXO7G1MBCOZHi/GsddAY9cKqz6CCdZ+C0wsjlIQfu5XeR0cSAH6CHIDzqn1K6MdvPrYpnq5rnIu6CpT5BxTwzFNxryr9lqIGZiZf39i6vw==,06/18/2025,"as 12307
+, Heuston, TX 77044,",,2,2,Harris,2025-06-19 17:37:49.568545,True,L/P,1a3f346c-1268-4451-bab8-ea29dc879531
RP-2025-234334,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVUKNaevVhXsYqKBywOHNdub7yZThkhEmhM38MzaDVjo0dErTB8HClfeuxUdldEuj9/5Zc6oI1TP3SFFmYWkT8Q42nRss7uipTeVKsYPSPJSfUByjvAflhXbTZYO1pHwATQ==,06/18/2025,":

Jot 12, in tock 5, of Balmora! Sec, 19, an addition fo Harris County, Texas,
to the map or plat Cure recorded infunder fm code no. 69062:
Harris County, Texas and which property is commonly known as
‘Terrace Dr, Humble, TX 77346. ‘",,2,2,Harris,2025-06-19 17:37:59.670380,True,L/P,1a3f346c-1268-4451-bab8-ea29dc879531
RP-2025-234306,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVRHeszPyh/8aeN63BIJTkBT4V8IwKTQKVcUWVQgQIj2CHjlGfbZ2JqEQ1l+ksyRsky1aDBr+Si1gUjWDeWuCPU/V5RVfxWguLUTBQvSwTXvu6kKb/wR6XKPwCHmQqJ9Ryw==,06/18/2025,":

Jot 8, in block 5, of Budtmonal Sec 29, are | to Harris County, Texts, according to
the map or plat thereof recoried impuritr flim cade x0, 690621, map/plat records,
Harris County, Texas and which property is commonly known as 15807 Perthshire
Creek Drive, Humble, TX 77346,",,2,2,Harris,2025-06-19 17:38:09.815504,True,L/P,1a3f346c-1268-4451-bab8-ea29dc879531
RP-2025-233889,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVdTarnxYazMLPR2A7ZqDh41Bh4HEy3gXlAXafA3s1WZWgBUhVGdia63xyB0C13GEssCR7G8nzJtGcnny2FvwtZWUEq2pPgiucxJQfVS+UJoDBjHjDAMfLoT/bdRAhS6v0g==,06/18/2025,,,31,31,Harris,2025-06-19 17:38:21.578316,True,L/P,1a3f346c-1268-4451-bab8-ea29dc879531
RP-2025-233851,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVWorCfEoPweaP7EhuNb3WLGUU8oi/OBuaCmw65y8nZ7Dp3zdty1yECgHXCxUsG5apX9RX9KbFGxHC5q0RcivBAtximlPBjCgrz9SErSqwdAp5dJhm84jMrfowOv3qx25sQ==,06/18/2025,1253154 COUNTY CIVIL COURT AT LA,,10,10,Harris,2025-06-19 17:38:32.500742,True,L/P,1a3f346c-1268-4451-bab8-ea29dc879531
RP-2025-232073,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVeFhYPiIHQ48PWagoMSB6wa5TWCjFQyhq+nI+UP1D/S4wIkdcKInm031X1+An7X8OPKaeFO3o23ulW8zbCYlcl295g1YVTkycuj4725PLi4bYFYlbeedulbPZuVh8nxBmw==,06/17/2025,:,,2,2,Harris,2025-06-19 17:38:42.959879,True,L/P,1a3f346c-1268-4451-bab8-ea29dc879531
RP-2025-231410,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVYpsaVyK9MuuyBk7EW9hmoBr+eyLGp2rWGUevSExF0JxJJuqde4bRT98aMpuIEj8GUUR8S5Thk4cFBeXC80O00B80E7lAoXp9n+biZxQt/Z1DUQ5RAcw1N4+KxkomGNA/Q==,06/17/2025,,,3,3,Harris,2025-06-19 17:38:52.692046,True,L/P,1a3f346c-1268-4451-bab8-ea29dc879531
